model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/OpenSubtitles/v2016	19.80
model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/OpenSubtitles/v2018	20.80
model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/OpenSubtitles/v1	21.30
model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/EMEA/v3	19.30
model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/Europarl/v7	32.20
model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/Europarl/v3	24.60
model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/JRC-Acquis/v3.0	28.40
model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/KDE4/v2	9.70
model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/ECB/v1	21.90
model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/DGT/v4	27.90
model_en2daisnlno	da	ce-mean-words	data/raw/test/en2da/EUbookshop/v2	24.30
model_en2daisnlno	is	ce-mean-words	data/raw/test/en2is/OpenSubtitles/v2016	23.10
model_en2daisnlno	is	ce-mean-words	data/raw/test/en2is/OpenSubtitles/v2018	22.40
model_en2daisnlno	is	ce-mean-words	data/raw/test/en2is/KDE4/v2	5.00
model_en2daisnlno	is	ce-mean-words	data/raw/test/en2is/GNOME/v1	2.80
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/OpenSubtitles/v2018	15.80
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/OpenSubtitles/v1	13.80
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/OpenSubtitles/v2016	16.00
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/KDE4/v2	8.40
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/DGT/v4	26.10
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/ECB/v1	21.40
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/Europarl/v7	25.20
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/Europarl/v3	22.90
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/Tanzil/v1	5.20
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/Books/v1	5.00
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/GlobalVoices/v2017q3	19.50
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/GlobalVoices/v2015	19.20
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/GNOME/v1	9.00
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/PHP/v1	14.00
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/Wikipedia/v1.0	11.20
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/EUbookshop/v2	18.80
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/Ubuntu/v14.10	9.60
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/TED2013/v1.1	20.00
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/ParaCrawl/v1	17.90
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/JRC-Acquis/v3.0	25.50
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/EMEA/v3	18.20
model_en2daisnlno	nl	ce-mean-words	data/raw/test/en2nl/Tatoeba/v2	29.10
